Глубина манометра;Dшт;Руст_ср;Рзаб_ср;Pлин_ср;Pлин;Туст;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит нест. конд.;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Pсб;Ro_c;Удельная плотность газа ;G_total;КГФ
3517;12.7;197.1;276.4;99;99.5;60;109.1;41;65.4;0.58;98.5;39.5;44.9;53.7;89;788;0.659;;106
3517;14.29;168.6;242.8;99.4;99;59;108.3;45.4;58.8;0.59;88.9;39.5;44.9;53.7;89;788;0.659;;93
3517;15.87;150.3;223.8;98.9;99;58;107.8;47.2;52.2;0.52;76.4;39.5;44.9;53.7;89;788;0.659;;85
3517;9.5;130;;99;98.4;38;;29.7;21.9;0.2;34;39.5;;;92;775.8;0.65;;112
3517;9.5;129;;99.7;96.6;35;;28.8;19.8;0.2;30;39.5;;;93;775.8;0.65;;101
4010;7.94;363.2;465.7;109.1;102.4;43.8;110.6;19.1;66.8;0.22;113.2;41.4;47.5;58.1;92;797;0.653;;148
4010;9.5;315;419.7;101.5;102.2;55.4;111.0;27.9;78.2;0.37;128.5;41.4;47.5;58.1;91;797;0.653;;139
4010;11.1;275;377.2;107.1;96.9;60.9;110.9;36.3;89.6;0.56;143.6;41.4;47.5;58.1;88;797;0.653;;138
4010;12.7;234;335.8;107.2;107;63.5;110.7;41.6;87.4;0.95;152.8;41.4;47.5;58.1;89;797;0.653;;119
4010;14.29;200.9;301.2;106.2;106.1;63.9;110.4;45.9;87.6;1.22;145.9;41.4;47.5;58.1;88;797;0.653;;113
4010;15.87;188.6;277.8;106.7;106.8;63;110.2;48.6;85.7;1.59;133.7;41.4;47.5;58.1;88;797;0.653;;112
4013;9.53;162;220.3;96;95.9;46;107.7;28.9;28.4;1.69;46.1;41.4;30.4;57.3;93;777.6;0.653;;96
4013;11.11;147.1;204.7;96.4;96.8;50;107.6;36.5;28.2;2.85;43.9;41.4;30.4;57.3;94;777.6;0.653;;80
4013;12.7;136.5;191.8;94.2;93.4;51;107.4;40.1;26.5;3.96;41.4;41.4;30.4;57.3;92;777.6;0.653;;70
4013;14.29;115.4;168.1;86.5;84.2;52;107.4;44.1;23.6;4.33;37;41.4;30.4;57.3;86;777.6;0.653;;58
4013.5;11.1;126.5;275.6;99.6;100.5;41;104.4;34.8;22;0.4;33;41.4;;49.4;96;772.6;0.653;;90
3553.5;9;233;312.9;113.4;113.4;48;107.3;32.7;54.8;0.4;96.5;21;34.5;48.8;75;778;0.676;3.223173344;147.3532
3553.5;9.5;228;309.7;102.6;102.5;50;107.3;31.9;54.4;0.3;94;21;34.5;48.8;75;778;0.676;3.455416524;134.594
3553.5;11.1;217.6;302.1;104.5;105;53;107.3;38.9;64.4;0.3;109.4;21;34.5;48.8;83;778;0.676;4.347516227;125.4136
3553.5;12.7;202;292.8;107.6;107.5;56;107.2;45.1;75.4;1.3;128.3;21;34.5;48.8;85;778;0.676;5.248004915;121.368
3553.5;14.3;189.6;282.9;107.8;108;61;107.1;49.2;84.3;2.6;141;21;34.5;48.8;86;775;0.676;5.949393346;119.195
3561;9.53;205.7;289.7;101.9;101.9;52.7;107.4;30.1;90.5;0.16;82.5;21;32.45;42.85;87;775;0.687;3.46062203;127.6425
3561;11.1;201.1;289.7;104.5;104.7;58.6;107.1;38.2;119.1;0.21;100.3;21;32.45;42.85;88;775;0.687;4.416122576;121.9075
3561;12.7;188.9;274.5;107.3;107.2;62.6;106.6;45.5;150.4;0.8;126.7;21;32.45;42.85;89;775;0.687;5.383660589;117.7225
3561;14.29;177.4;266;109.8;110.4;66;106.1;50.5;173;0.61;140.3;21;32.45;42.85;91;775;0.687;6.109496551;113.5375
3562.3;7.94;174;234;108.4;109.6;35;106.5;26.2;25.1;0.1;44;21;28.34;36.9;96;764.2;0.671;1.719938003;119.82656
3562.3;9.5;170;230.5;112.5;112.5;48;106.5;36.1;30.5;2;54;21;28.34;36.9;98;764.2;0.671;2.322371055;107.3701
3562.3;11.1;162;223.3;111.8;112.2;53;106.4;42.8;30.4;6.1;54.2;21;28.34;36.9;101;768.6;0.671;2.873966587;86.23692
3562.3;12.7;155;215.3;114.1;109.9;55;106.3;46.3;28.9;8;51.6;21;28.34;36.9;95;768.6;0.671;3.168486697;73.70874
3494.8;11.1;139;193;109.3;111.1;46;104.6;39.8;25.5;3.5;46.5;21;24.23;34.9;98;765.4;0.675858289;2.191490775;93.49791137
